"";"x"
"234";"Acacia dealbata_Norfolk"
"235";"Acacia holosericea_Kaua'i"
"236";"Senegalia insuavis_O'ahu"
"237";"Acacia mangium_Atiu"
"238";"Acacia mangium_Atiu"
"239";"Acacia mangium_Babeldaob"
"240";"Acacia mangium_Guam"
"241";"Acacia mangium_Hawai'i"
"242";"Acacia mangium_Kaua'i"
"243";"Acacia mangium_Mangaia"
"244";"Acacia mangium_Mangaia"
"245";"Acacia mangium_O'ahu"
"246";"Acacia mangium_Ofu"
"247";"Acacia mangium_Penrhyn"
"248";"Acacia mearnsii_Kaho'olawe"
"249";"Acacia mearnsii_Moloka'i"
"250";"Acacia melanoxylon_Kaua'i"
"251";"Acacia melanoxylon_Maui"
"252";"Acacia melanoxylon_Moloka'i"
"253";"Vachellia nilotica_Grande Terre"
"254";"Vachellia nilotica_NA"
"255";"Acacia podalyriaefolia_Maui"
"256";"Acacia retinodes_Maui"
"257";"Acacia retinodes_Maui"
"258";"Acacia retinodes_O'ahu"
"259";"Vachellia robusta_O'ahu"
"260";"NA_Babeldaob"
"261";"NA_Fangataufa"
"262";"NA_NA"
"263";"NA_Grande Terre"
"264";"NA_Grande Terre"
"265";"NA_Guadalcanal"
"266";"NA_Ndeni"
"267";"NA_Grande Terre"
"268";"NA_Grande Terre"
"269";"NA_Grande Terre"
"270";"NA_Raiatea"
"271";"NA_Tahiti"
"272";"NA_Tahiti"
"273";"NA_Tahiti"
"274";"NA_Tahiti"
"275";"NA_Vanua Levu"
"276";"NA_Viti Levu"
"277";"NA_Viti Levu"
"278";"Senegalia angustissima_O'ahu"
"279";"Acaciella glauca_Ma'uke"
"280";"Acaciella glauca_Ma'uke"
"281";"Acaciella glauca_Viti Levu"
"282";"Acaciella glauca_Viti Levu"
"283";"Acaciella glauca_Viti Levu"
"284";"Acaena argentea_Alejandro Selkirk"
"285";"Acalypha indica_Guam"
"286";"Acalypha indica_Guam"
"287";"Acalypha indica_Niue"
"288";"Acalypha indica_Rota"
"289";"Acalypha indica_Tutuila"
"290";"Acalypha indica_Upolu"
"291";"Acalypha lanceolata_Angaur"
"292";"Acalypha lanceolata_Butaritari"
"293";"Acalypha lanceolata_Kayangel"
"294";"Acalypha lanceolata_Olosega"
"295";"Acalypha lanceolata_Ta'u"
"296";"Acalypha lanceolata_Ta'u"
"297";"Acanthospermum hispidum_Ua Huka"
"298";"Achillea millefolium_NA"
"299";"Achillea millefolium_Maui"
"300";"Achillea millefolium_O'ahu"
"301";"Achyranthes aspera_Angaur"
"302";"Achyranthes aspera_Asuncion"
"303";"Achyranthes aspera_Asuncion"
"304";"Achyranthes aspera_Enewetak"
"305";"Achyranthes aspera_Enewetak"
"306";"Achyranthes aspera_Fatu Hiva"
"307";"Achyranthes aspera_Guam"
"308";"Achyranthes aspera_Guam"
"309";"Achyranthes aspera_Henderson"
"310";"Achyranthes aspera_Kayangel"
"311";"Achyranthes aspera_Moloka'i"
"312";"Achyranthes aspera_Namoluk"
"313";"Achyranthes aspera_Nui"
"314";"Achyranthes aspera_Olosega"
"315";"Achyranthes aspera_Pitcairn"
"316";"Achyranthes aspera_Pohnpei"
"317";"Achyranthes aspera_Puluwat"
"318";"Achyranthes aspera_Rapa"
"319";"Achyranthes aspera_Rapa"
"320";"Achyranthes aspera_Raroia"
"321";"Achyranthes aspera_Satawal"
"322";"Achyranthes aspera_NA"
"323";"Achyranthes aspera_NA"
"324";"Achyranthes aspera_Ta'u"
"325";"Achyranthes aspera_Tofua"
"326";"Achyranthes aspera_Tongatapu"
"327";"Achyranthes aspera_Tongatapu"
"328";"Achyranthes aspera_Ua Huka"
"329";"Achyranthes aspera_Walpole"
"330";"Acmella uliginosa_Ovalau"
"331";"Acmella uliginosa_Tutuila"
"332";"Acnistus arborescens_Kaua'i"
"333";"Acnistus arborescens_O'ahu"
"334";"Acoelorrhaphe wrightii_Guam"
"335";"Acokanthera schimperi_O'ahu"
"336";"Actinorhytis calapparia_Kaua'i"
"337";"Actinorhytis calapparia_NA"
"338";"Adenanthera pavonina_Atiu"
"339";"Adenanthera pavonina_Eua"
"340";"Adenanthera pavonina_Eua"
"341";"Adenanthera pavonina_Babeldaob"
"342";"Adenanthera pavonina_Babeldaob"
"343";"Adenanthera pavonina_Bougainville"
"344";"Adenanthera pavonina_Grande Terre"
"345";"Adenanthera pavonina_Guam"
"346";"Adenanthera pavonina_Guam"
"347";"Adenanthera pavonina_Guam"
"348";"Adenanthera pavonina_Guam"
"349";"Adenanthera pavonina_Hiva Oa"
"350";"Adenanthera pavonina_Kaua'i"
"351";"Adenanthera pavonina_Koror"
"352";"Adenanthera pavonina_Kosrae"
"353";"Adenanthera pavonina_Kosrae"
"354";"Adenanthera pavonina_Makatea"
"355";"Adenanthera pavonina_Moorea"
"356";"Adenanthera pavonina_Nauru"
"357";"Adenanthera pavonina_Nauru"
"358";"Adenanthera pavonina_Ndeni"
"359";"Adenanthera pavonina_Niue"
"360";"Adenanthera pavonina_Nuku Hiva"
"361";"Adenanthera pavonina_Nukuoro"
"362";"Adenanthera pavonina_Pohnpei"
"363";"Adenanthera pavonina_Pohnpei"
"364";"Adenanthera pavonina_Pohnpei"
"365";"Adenanthera pavonina_Pohnpei"
"366";"Adenanthera pavonina_Pohnpei"
"367";"Adenanthera pavonina_Raiatea"
"368";"Adenanthera pavonina_Rarotonga"
"369";"Adenanthera pavonina_Savai'i"
"370";"Adenanthera pavonina_Savai'i"
"371";"Adenanthera pavonina_Savai'i"
"372";"Adenanthera pavonina_Swains"
"373";"Adenanthera pavonina_Swains"
"374";"Adenanthera pavonina_Ta'u"
"375";"Adenanthera pavonina_Tahiti"
"376";"Adenanthera pavonina_Takapoto"
"377";"Adenanthera pavonina_Tutuila"
"378";"Adenanthera pavonina_Upolu"
"379";"Adenanthera pavonina_Upolu"
"380";"Adenanthera pavonina_Upolu"
"381";"Adenanthera pavonina_Upolu"
"382";"Adenanthera pavonina_Viti Levu"
"383";"Adenanthera pavonina_Viti Levu"
"384";"Adenanthera pavonina_Wallis"
"385";"Adenanthera pavonina_Yap"
"386";"Adenanthera pavonina_Yap"
"387";"Adiantum raddianum_Hawai'i"
"388";"Adiantum raddianum_NA"
"389";"Adiantum raddianum_Tahiti"
"390";"Adiantum raddianum_Tahiti"
"391";"Adiantum raddianum_Tahiti"
"392";"Adiantum raddianum_Tarawa"
"393";"Aegle marmelos_Kaua'i"
"394";"Aegle marmelos_O'ahu"
"395";"Aegle marmelos_O'ahu"
"396";"Aeschynomene americana_Babeldaob"
"397";"Aeschynomene americana_Babeldaob"
"398";"Aeschynomene americana_Babeldaob"
"399";"Aeschynomene americana_Koror"
"400";"Aeschynomene americana_Koror"
"401";"Aeschynomene americana_Koror"
"402";"Aeschynomene americana_Kosrae"
"403";"Aeschynomene americana_Kosrae"
"404";"Aeschynomene indica_Pohnpei"
"405";"Aeschynomene indica_Pohnpei"
"406";"Agapanthus praecox_Hawai'i"
"407";"Agapanthus praecox_Kaua'i"
"408";"Agapanthus praecox_O'ahu"
"409";"Agave americana_Pagan"
"410";"Agave americana_Viti Levu"
"411";"Agave americana_Viti Levu"
"412";"Agave americana_Viti Levu"
"413";"Agave americana_Viti Levu"
"414";"Agave sisalana_Abemama"
"415";"Agave sisalana_Abemama"
"416";"Agave sisalana_Jemo"
"417";"Agave sisalana_Jemo"
